cod_mun,nome_mun_rqual,uf_rqual,kmeans_cluster,lof_score,lof_outlier,shap_dominante,shap_dominante_valor
2614006,Serrita,PE,2,1.0226739682300061,False,lat,0.2009631724352824
2614105,Sertânia,PE,2,1.0836150785750946,False,lat,0.21953765575553283
2614204,Sirinhaém,PE,2,1.0100303576042502,False,lat,0.23687274194084765
2614303,Moreilândia,PE,2,1.0318818596062393,False,lat,0.23994245964872918
2614402,Solidão,PE,2,1.014166416728154,False,lat,0.22851302740792725
2614501,Surubim,PE,2,1.0036078392560543,False,lat,0.2648223465096327
2614600,Tabira,PE,2,0.993185249679996,False,lat,0.22689779978915486
2614709,Tacaimbó,PE,2,1.0104926894543413,False,lat,0.19770151957082416
2614808,Tacaratu,PE,2,1.1946539552948197,False,lat,0.1919742418303543
2614857,Tamandaré,PE,2,1.0513837253868883,False,lat,0.26404059775399213
2615003,Taquaritinga do Norte,PE,2,1.134483842855929,False,lat,0.2813683124198955
2615102,Terezinha,PE,2,1.0113450768847094,False,lat,0.21351658010137683
2615201,Terra Nova,PE,2,0.9999183019406102,False,lat,0.21991189682890058
2615300,Timbaúba,PE,2,1.064090297910648,False,lat,0.22416681321567042
2615409,Toritama,PE,2,1.8671572949601143,True,lat,0.26190968577622603
2615508,Tracunhaém,PE,2,1.029333978416347,False,lat,0.24786138910755054
2615607,Trindade,PE,2,1.0160791840505334,False,idhm,0.2630073541411888
2615706,Triunfo,PE,2,1.0164940905968591,False,lat,0.36400032774787777
2615805,Tupanatinga,PE,2,1.1977381111291483,False,lat,0.19084180642125884
2615904,Tuparetama,PE,2,1.025291286338197,False,lon,0.24968045006049483
2616001,Venturosa,PE,2,0.9991006912504868,False,lat,0.2223396543797671
2616100,Verdejante,PE,2,1.0414177415555235,False,lat,0.21305919220846856
2616183,Vertente do Lério,PE,2,1.0104418217728062,False,lat,0.20683287667734904
2616209,Vertentes,PE,2,1.3618771737031194,True,lat,0.2112087320340417
2616308,Vicência,PE,2,1.0977044494931745,False,lat,0.2213757379816802
2616407,Vitória de Santo Antão,PE,2,1.0824466865376148,False,lat,0.33652940399525827
2616506,Xexéu,PE,2,1.3781215102929951,True,idhm,0.2812238521757608
2700102,Água Branca,AL,2,1.0320672976104823,False,idhm,0.2955068783307262
2700201,Anadia,AL,2,1.2348054962324349,False,lat,0.22274375711238906
2700300,Arapiraca,AL,2,1.8390441849440258,True,lat,0.3312770773907147
2700409,Atalaia,AL,2,1.6187530200501385,True,idhm,0.3048507777860797
2700508,Barra de Santo Antônio,AL,2,0.9971660016410459,False,idhm,0.3411042512988416
