cod_mun,nome_mun_rqual,uf_rqual,kmeans_cluster,lof_score,lof_outlier,IND2,IND4,IND5,IND8,IND9,INF1,INF4-UP,pib_agropecuaria,pib_industria,pib_per_capita,area_km2,densidade,pop_rural,idhm
3157104,Salto da Divisa,MG,1,1.2831766612813156,True,-0.08499885651779786,0.925923758707919,-1.5422551500353476,-0.4622591562498948,-1.2744041435588775,3.014481552208065,0.5338941455994137,-0.3827039202005592,-0.1508521862908916,-0.3589124530373636,-0.10481740844115058,-0.18402761884238647,-0.6546526828559082,-0.7113724498179297
3116308,Cipotânea,MG,1,1.2829385520491234,True,-0.3516834201773108,0.9589228673038958,-1.1058812100409328,0.05444154362748796,-2.5617194900891347,0.06285784532555574,-0.6729500891896127,-0.4048873499867199,-0.16679263810501394,-0.551399111429758,-0.24477648240405023,-0.13385777784891636,-0.43524367249357115,-1.1141259559450012
3160306,Santo Antônio do Jacinto,MG,1,1.2828634505954788,True,-0.39086460054292127,0.9708715157769017,0.6618318186762141,-0.47661055288093884,-1.0199884445425222,1.1491799620456606,-0.6436534977444965,-0.3974467136403168,-0.1668796835798953,-0.5719657129247085,-0.18229638721725094,-0.16051418247727267,-0.16062272263841654,-1.1835662156220825
2411601,São Bento do Norte,RN,2,2.2254679996978988,True,2.0591327497124685,1.0175910276509397,-1.9915337753909843,0.6250786350135952,0.7490388462715744,-1.3134420737627246,-0.25020210337134985,-0.3995560492561865,0.044519610328197484,3.9713486020294995,-0.2206423287349711,-0.17574161160292895,-0.45196911344742147,-1.44743920239499
2605459,Fernando de Noronha,PE,2,2.010147046350434,True,1.3109970614016873,-4.054627871998782,-4.336400542532632,0.4648281319920051,-1.2353057141981574,1.8791039710745119,-0.688440275924368,-0.43676483755418044,-0.164308083593981,0.9362608769010483,-0.2646008765756529,0.0910745444343703,-0.7931321402157439,1.7884768985569954
1502772,Curionópolis,PA,2,1.974585581037281,True,-0.21261354975351052,0.7337935734523674,-0.13692107036932297,-4.162298682863055,-0.7246016972497722,1.609768528317344,-0.7397067961716415,0.010996931793782149,1.277474284901617,3.9713486020294995,0.1504870496979598,-0.180817421311481,-0.4611411294543716,-0.3225069956262745
2408805,Parazinho,RN,2,1.9668559547068358,True,-0.5709622820144237,-0.0909788044639568,0.4114474608879677,0.3401771600009112,0.9515712819539642,-1.0669728790395228,-0.028926586376686065,-0.4206285428017345,0.08036630240917222,1.917571384584532,-0.23094557610715657,-0.16004357760363208,-0.5408117782990562,-1.5307675140074875
2615409,Toritama,PE,2,1.8671572949601143,True,-0.5203221326112757,0.618900254336269,0.6246338524285776,0.378218585363933,0.7084674114094962,0.4531318588683993,-0.6946830133873992,-0.43676483755418044,-0.1175282349408869,-0.4207759465957437,-0.2646008765756529,2.494890624356677,-0.6891826254703087,-0.5724919304637671
2700300,Arapiraca,AL,2,1.8390441849440258,True,-0.7852738210721935,0.43443399579387254,0.7253019902056717,0.3029037660414963,-0.5110155004577394,-0.36304062280376354,1.7134368828477435,3.9045488041455125,0.05136013091479906,-0.20575292970843562,-0.21049250437660422,0.9462308291069866,2.459156829778111,-0.1419623204658631
2709152,Teotônio Vilela,AL,2,1.8021344448896506,True,-0.1893619289268461,0.7698101361937686,0.11048779677431546,0.4121268396755173,-0.7136919932288117,-0.5434160723173881,0.46979825855433166,3.059641343103027,-0.14906312434931454,-0.08135949422088234,-0.21877627672968902,0.018769467062876678,0.23539255672049014,-1.3224467349762452
2701100,Branquinha,AL,2,1.7974672555282012,True,1.9998547672624942,-1.1165433969173182,-1.7433878317596305,-0.6695789080403766,-0.9932655874454425,0.7943705522690667,-0.6635209532736955,2.310404386630066,-0.16409159863101977,0.9664195149364613,-0.24217738951065115,-0.09893217329801823,-0.2196113746046842,-2.0307373836824727
2500601,Alhandra,PB,2,1.7845276921378486,True,0.14499577186467594,0.0739821942070695,0.18846004787197318,0.5760270175635263,-0.5598373683461972,1.4718062901586504,-0.6086208159310662,-0.3176996675411619,-0.08172114931638011,3.275516133627643,-0.23933620937335462,0.0035420379372204146,-0.1514507066314664,-1.0724618001387525
2401651,Bodó,RN,2,1.7717288976259244,True,-0.953101077723884,1.3524287502827321,0.6970658329106382,0.6812697292543605,-2.763292005277475,1.5901838666432104,-0.596873749655668,-0.426602315856908,-0.05277541157945688,2.341519403835701,-0.22692946112217477,-0.17967452376121104,-0.660227829840525,-0.4197233591741883
2100154,Água Doce do Maranhão,MA,2,1.7453856206273795,True,-0.09902892253232175,-3.864793392791109,-1.7865641405851935,-1.6337279409465173,-3.2324636338965043,-1.2360887146495136,-0.1326143277772901,-0.4119104832170843,-0.1665440527726657,-0.6176550079990792,-0.1932525743924319,-0.14883309722083657,0.8141287824139332,-2.211282058842884
