cod_mun,nome_mun_rqual,uf_rqual,kmeans_cluster,hdbscan_cluster,hdbscan_noise,perfil_hdbscan,IND2,IND4,IND5,IND8,IND9,INF1,INF4-UP
4107736,Fernandes Pinheiro,PR,1,-1,True,C1-intermediário,0.3976087822156841,-0.009727433721676629,0.4712686373059994,0.49625586010666817,-0.16459665871283624,-1.1849737206969204,1.3539411128140397
4107751,Figueira,PR,1,-1,True,C1-intermediário,-0.4181242062381089,0.35853401194200024,0.9342504953803271,0.3409433424071985,-0.4807746615215756,0.5689918580269553,0.38094758867194234
4107801,Floraí,PR,1,-1,True,C1-intermediário,2.4664382732707506,-2.4113878909103725,-0.8594873346886539,0.3467021939537988,-0.34670612611730617,0.16395567145801676,-0.7206761586705888
4107850,Flor da Serra do Sul,PR,1,-1,True,C1-intermediário,1.061485783900681,-1.4654149642082124,-1.6121841707963507,-0.8706380324912284,-0.20759919339013347,-0.34587967762498456,-0.6961614879117632
4107900,Floresta,PR,1,-1,True,C1-intermediário,-0.32531489910284506,-0.42549449347545165,0.804574151908901,0.4917547253071983,-0.21412274978714216,-0.4119185535329769,3.131133164894432
4108007,Florestópolis,PR,1,-1,True,C1-intermediário,-0.32424559755797894,-0.2378003586017561,0.464719447889835,0.3920227784420753,0.6222844908991569,-0.6352800604446885,-0.47341513481593894
4108106,Flórida,PR,1,-1,True,C1-intermediário,-0.4567859032290857,0.5411836256130214,0.45225533808296564,0.2945613559684105,0.20421654562548336,1.0224078940664472,-0.698478850183872
4108205,Formosa do Oeste,PR,1,-1,True,C1-intermediário,-0.32432143454697654,0.7763990594949224,0.8478365704594547,0.5351798993463058,0.48021450385178943,-0.08751989117320876,-0.7038117794373926
4108304,Foz do Iguaçu,PR,0,-1,True,C0-ruído,-0.76072538773367,-0.26590013730330647,0.6446301616975088,0.478401288982894,0.5297987130862825,-0.7793386848913432,1.861306349574411
4108320,Francisco Alves,PR,1,-1,True,C1-intermediário,0.23902560842286577,-0.8430334833861003,0.15977232631967214,0.4412913153832339,0.09647292471199344,1.0246933937086429,-0.027540836737689908
4108403,Francisco Beltrão,PR,1,-1,True,C1-intermediário,-0.541586824326203,-0.4743969601761044,0.39106095522867884,0.40785550977462276,0.7428264789359735,-0.5989457280281242,-0.39055863269119556
4108452,Foz do Jordão,PR,1,-1,True,C1-intermediário,-0.16245496523049738,-1.0267846572001706,0.5852979698041488,0.28630105466147393,0.7903976532224297,0.408872890892185,-0.5755713596998819
4108502,General Carneiro,PR,1,-1,True,C1-intermediário,0.42357536724846245,1.2863100633660616,0.7248941252191429,-0.3270842895323718,-2.2581417224918536,1.704473328039225,-0.6909184394883582
4108551,Godoy Moreira,PR,1,-1,True,C1-intermediário,2.282969414588338,-2.1457256728013103,0.4993060788654362,0.5700143440828082,0.4154871864335265,-1.633392532323263,-0.6991956172385251
4108601,Goioerê,PR,1,-1,True,C1-intermediário,0.35063535123057005,0.5088084308913903,0.6837526076800503,0.5768646066953304,0.055485866371713655,-0.1750650224204763,-0.6996325379404755
4108650,Goioxim,PR,1,-1,True,C1-intermediário,0.25125097714921435,-0.9241664916488279,0.4640565680629584,-0.5772170865386801,-2.3724926103574497,1.1404084769642617,-0.7671933961175473
4108700,Grandes Rios,PR,1,-1,True,C1-intermediário,-0.027029062128031946,0.06738703684632935,-0.09377671607145364,-0.4463666259089748,0.26402032149770754,-0.1664186609573358,3.131133164894432
4108809,Guaíra,PR,1,-1,True,C1-intermediário,-0.526351173236585,0.006209767284561898,0.20102785438727064,0.5186135036018484,-1.0005078572952188,1.4176079689073875,-0.6669412445147725
4108908,Guairaçá,PR,1,-1,True,C1-intermediário,-0.3076846297089133,-0.09666108024165118,0.41021495442155337,0.0730480476993038,0.372157739788387,0.7943358019821096,-0.233578723446085
4108957,Guamiranga,PR,1,-1,True,C1-intermediário,0.5484013658720913,-0.7838491598357548,0.9113149591057542,0.1578553423407043,-0.3185340755067594,-0.18274904293136043,1.6959404911008829
4109005,Guapirama,PR,1,-1,True,C1-intermediário,1.0759441058530734,-0.061887937266939974,0.010098447959199508,0.017262514961134616,-1.6110762151631506,0.13413133358666401,-0.755161088468605
4109104,Guaporema,PR,1,-1,True,C1-intermediário,-0.5888332684717082,0.5877658370107753,0.17720351917104285,0.5018953572170856,-0.8830612569415731,-0.1853886585786684,-0.7335102293765761
4109203,Guaraci,PR,1,-1,True,C1-intermediário,0.6040749847616521,0.31498030185442966,0.8636406554674481,-0.700852084339187,-0.6325549347148071,0.7385651246088951,-0.6460288266389261
4109302,Guaraniaçu,PR,1,-1,True,C1-intermediário,-0.26969605137200464,0.803135749881489,0.6081655351418344,0.10392163021732453,-1.1547205296363299,0.7723469757007776,-0.13357985920675977
4109401,Guarapuava,PR,1,-1,True,C1-intermediário,-0.6938371634377862,-0.04070771679601696,0.620341951932132,0.03949751568361773,0.6327882444737614,-0.6193409548363641,0.24037608804038907
4109500,Guaraqueçaba,PR,1,-1,True,C1-intermediário,0.0010457911988798984,-1.3830846537078672,0.23650916953151038,0.02005979321691694,-1.837976462508295,-0.9112889714203161,-0.3634644834230002
4109609,Guaratuba,PR,1,-1,True,C1-intermediário,-0.6160359964251476,0.7645201224409077,0.9044282166655876,0.15620569352612196,0.1529268157954412,-0.54632607819329,1.3994400265082043
4109658,Honório Serpa,PR,1,-1,True,C1-intermediário,-0.042833713685099445,-0.06990344438232732,0.8084425479432468,-0.09613686561332221,-0.23932513615038814,0.7823322509373378,-0.3306425950327027
4109708,Ibaiti,PR,1,-1,True,C1-intermediário,0.09389680867809246,-0.5149560904610401,0.10103522256729786,0.0737385983658695,-0.30517141445874246,-0.173313022036126,-0.7143647441481535
4109757,Ibema,PR,1,-1,True,C1-intermediário,0.3126182686460728,-0.4889076741139431,0.7606510048336051,0.4430220764983773,-0.9834952145444497,0.032287535710370886,-0.6195795469980733
4109807,Ibiporã,PR,1,-1,True,C1-intermediário,-0.3784614609923638,-0.03002212749371567,0.6240065577526912,0.5937476895438184,-0.1673977497752366,-0.4547059581404755,0.26351454560453597
4109906,Icaraíma,PR,1,-1,True,C1-intermediário,0.12450461743752408,0.6148075428210289,0.5978054737036511,-0.52075421379306,-1.2116358544714847,0.7696992755743778,-0.25879803965002707
4110003,Iguaraçu,PR,1,-1,True,C1-intermediário,0.4116537925780398,-0.048572245993039956,0.3933244726394449,0.3696815766294136,0.8203950087043638,0.4295521270485822,-0.6233130027353192
4110052,Iguatu,PR,1,-1,True,C1-intermediário,0.15311412153686899,-0.23365941610654228,0.6216058676100459,-2.937171919148701,-0.25104046306313915,1.022790759808165,-0.6977754349916636
4110078,Imbaú,PR,1,-1,True,C1-intermediário,0.6938356449392125,0.09585207339219366,0.43147280862923676,-0.09795531570200279,-0.12606119911255215,-0.1061133197703942,-0.702580802851028
4110102,Imbituva,PR,1,-1,True,C1-intermediário,0.06571578356658403,0.5844221533264639,0.47195465104827694,0.477835207942691,-0.45197359587016384,0.24900881643159722,-0.643887028693597
4110201,Inácio Martins,PR,1,-1,True,C1-intermediário,-0.5334570991056601,0.4381051252503922,0.7642737527280007,0.22945521608503439,-3.7659994532279346,0.7435117252409714,-0.2952008034698286
