pair_rank_global,cluster_id,cluster_nome,cod_mun_a,nome_a,uf_a,cod_mun_b,nome_b,uf_b,dist_socio,dist_rqual,divergencia,indicador_dominante,divergencia_ponderada,IND2_a,IND4_a,IND5_a,IND8_a,IND9_a,INF1_a,INF4-UP_a,IND2_b,IND4_b,IND5_b,IND8_b,IND9_b,INF1_b,INF4-UP_b
778,1,C1: Intermediário,3153004,Pratinha,MG,4211850,Ouro Verde,SC,1.4400849339590769,10.116779003261374,7.025126614180478,IND5,1.6109434217361343,-0.3499581286776154,-1.2189132642893308,-1.7184998564080145,-4.20162937971753,-0.4397033364401437,0.5235077281258746,2.699865836896199,-0.9008645597023366,0.5828047832751642,1.0204566765314114,0.2724198901510162,0.3693466916650757,-0.6955667684103088,1.510309539758908
779,1,C1: Intermediário,4110904,Itaguajé,PR,4322152,Tunas,RS,1.3857938683236726,9.734411461975446,7.024429590474563,IND5,2.680178343595628,-0.1856610838637632,-0.3260025001989019,0.244392077074075,-0.1159249786035117,-2.9293135528888654,1.7380255375952125,-0.6696179853717071,-0.3661910361725519,-4.054627871998782,-4.312497931963389,0.3385826821654886,-0.0053403795972648,1.9314120539937352,-0.6143784682907917
780,1,C1: Intermediário,3109501,Cabo Verde,MG,4322152,Tunas,RS,1.7424332924210955,12.23502619133031,7.0218046438426605,IND5,3.159104923136616,-0.3606701033735266,1.0352422927129408,1.0586721232462886,-1.2184505000831105,-0.5961579576058392,-0.0841534824376519,1.855730481555433,-0.3661910361725519,-4.054627871998782,-4.312497931963389,0.3385826821654886,-0.0053403795972648,1.9314120539937352,-0.6143784682907917
781,1,C1: Intermediário,3107505,Bom Jardim de Minas,MG,5203962,Buritinópolis,GO,1.3493049585741643,9.4745396796514,7.021792673645496,IND5,0.8888478336471064,0.6670879389197585,0.3207278085097446,-0.8314832319057004,0.2826600136159717,0.3515875447894966,0.4086626009167142,-0.7367312847775637,0.1723534239527817,0.6955398102826086,0.6797526984866221,-4.20162937971753,-0.948894953379424,-1.7196417421393082,1.9688456546098376
782,1,C1: Intermediário,3107703,Bom Jesus do Amparo,MG,3542800,Ribeira,SP,1.2817567498940865,8.999298469016166,7.021065785484434,IND5,1.1406101403934574,0.5669755297440258,-0.0505081301030779,0.4150062968375208,0.0300712433252697,0.7954675848539475,-0.0976919455457794,1.4858037806626787,-0.1666297914748153,-0.7896598959392781,-1.5242806783690654,-4.20162937971753,0.9059003141634744,-0.9969422333063894,-0.6880279240966721
783,2,C2: Nordeste Vulnerável,2101731,Belágua,MA,2203420,Domingos Mourão,PI,1.1062183882404324,7.762773415320813,7.017396827629127,IND5,0.778646327022521,1.9259137029898332,-0.0462267400278373,-0.158137953614991,0.4951177303043509,-1.7652201229417688,-0.7819861376843642,-0.7251395885892962,-0.3464885864309752,1.0519277199417834,1.1828352002976683,0.4550657916425983,0.3051151002941978,8.029929952772747,-0.6195366907761776
784,2,C2: Nordeste Vulnerável,2102903,Carutapera,MA,2203420,Domingos Mourão,PI,1.3214780541517797,9.27310670680515,7.01722338154157,IND5,0.6436826839282408,4.274661089234527,-0.120436332319858,0.0742944304633389,0.5117669434127278,0.1904728456039961,-1.335524470321879,-0.6209342291327467,-0.3464885864309752,1.0519277199417834,1.1828352002976683,0.4550657916425983,0.3051151002941978,8.029929952772747,-0.6195366907761776
785,1,C1: Intermediário,3129103,Gurinhatã,MG,5107883,Serra Nova Dourada,MT,1.6085733592379832,11.286335285687555,7.0163634215711355,IND5,1.7579616296964269,4.260204663206858,-0.7658816351929745,0.3660037833098417,0.176811725416928,0.9705677887232717,-0.6359994148980765,0.6549472686381174,-0.4907907877790043,0.1564172147951491,-2.622915892791944,-3.5686061873328896,-0.1792641031605053,-0.530669584223204,-0.721773906103779
786,1,C1: Intermediário,3504305,Avaí,SP,4126355,Serranópolis do Iguaçu,PR,1.3565204458565274,9.51551528507058,7.01464936051715,IND5,0.2791167412573945,3.587866149474454,0.6791108093057653,0.8485373016734638,-4.20162937971753,0.1713501970768531,-0.6856442198717966,-0.3825670111145817,0.1798239090618239,-0.0227825521887366,0.3739777289382494,0.0035391906030437,0.3035229156725655,0.8969387066043069,0.5937795282501476
787,2,C2: Nordeste Vulnerável,2106672,Milagres do Maranhão,MA,2206951,Novo Santo Antônio,PI,1.1218770683029584,7.8690768726077875,7.014206001640607,IND8,0.2519400737626695,3.925769229501615,-0.5933535317014217,0.7939326983745975,-4.20162937971753,0.6080930742638448,0.2819246659984742,0.3825931561462959,0.2894614440556555,0.3628409664670162,1.1332471180330377,0.5480394873151344,-1.993885191041514,-1.238238220380251,-0.2067163118524569
